,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Arms Around You (feat. Maluma & Swae Lee).mp3,0.53766114,0.23220485,0.28512934,0.16600296,0.2884199,0.17503667,0.20093493,0.37890607,0.29811135,0.5374682,0.22235692,0.28685346
Around Me (feat. Don Toliver).mp3,0.36936006,0.28919375,0.5445151,0.31832692,0.2954767,0.36467686,0.26796284,0.29329908,0.33014196,0.5073125,0.4892001,0.31536198
Arranca (feat. Omega).mp3,0.3049666,0.20758933,0.32653064,0.47617128,0.27769658,0.323241,0.21801557,0.3378979,0.4085665,0.33222693,0.2743136,0.23643821
ARRANCARMELO.mp3,0.3607206,0.23348336,0.3654304,0.25164267,0.4015827,0.42911106,0.19482496,0.3644495,0.21111245,0.11506048,0.15054135,0.17138612
ART.mp3,0.3824231,0.35370734,0.23008126,0.34926185,0.29432276,0.48709965,0.29918507,0.24252106,0.36748716,0.23704839,0.3345369,0.282017
As It Was.mp3,0.28482425,0.3957741,0.30918646,0.18186295,0.25427207,0.24710865,0.40285417,0.3020097,0.3629674,0.3503652,0.2680973,0.41709965
As the World Caves In.mp3,0.32817155,0.17482062,0.33672875,0.14175732,0.15312205,0.08079063,0.117340386,0.16631559,0.17750046,0.3497727,0.29594272,0.4748017
ASAP.mp3,0.52563214,0.28390315,0.311579,0.41047683,0.2620143,0.26098987,0.19585054,0.32583714,0.26153117,0.2115162,0.35048476,0.32772785
Ascend.mp3,0.18207163,0.28830943,0.18321595,0.43961912,0.282242,0.18195134,0.2290586,0.22899878,0.55212903,0.19723262,0.32996234,0.38271987
Asesina - Remix.mp3,0.39821064,0.31104648,0.22694987,0.14696483,0.14685878,0.28933412,0.14316604,0.1777963,0.22088757,0.18185379,0.42507884,0.24392277
Asesina.mp3,0.4511144,0.3051221,0.13365534,0.1109491,0.12902166,0.23973483,0.09503051,0.114046626,0.164115,0.16062886,0.32504842,0.21576206
Ashes.mp3,0.48954523,0.25834548,0.22806336,0.38972613,0.37202573,0.45644248,0.33340085,0.40500748,0.4606202,0.43787074,0.38387793,0.36858863
ASI ES LA VIDA.mp3,0.15159376,0.19557168,0.15636186,0.24434735,0.24797381,0.45932993,0.46234363,0.25586095,0.3236555,0.3141974,0.5382723,0.26168302
Asi Lo Quiso Dios.mp3,0.28085372,0.5190691,0.3514363,0.5502952,0.4352383,0.2407677,0.2321249,0.24672231,0.52064204,0.19056045,0.26340073,0.34148267
Asiwaju.mp3,0.27663952,0.19083361,0.22587836,0.4358523,0.2914051,0.30491138,0.20428783,0.34969562,0.40860787,0.25241357,0.32467577,0.18688825
Asking.mp3,0.26029003,0.17856608,0.22009471,0.22181562,0.5281278,0.23177226,0.29133195,0.49151215,0.35619968,0.4159485,0.31361157,0.4132202
Astronaut In The Ocean.mp3,0.22392479,0.33320835,0.2724686,0.26926634,0.49004883,0.43121573,0.62568897,0.520978,0.27568054,0.23539424,0.21005993,0.23184395
